"n_sov"	"ratio_n_sov_tot"	"ratio_n_sov_sp"
36674	0.070654781055718	0.764392013005961
"n_sovGrp"	"ratio_n_sovGrp_stot"	"ratio_n_sovGrp_sp"	"ratio_n_sovGrp_sov"	"o"
13	0.000025045322401	0.000270957522198	0.000354474559634	"Mo-Fr 08:00-24:00; Sa,Su 10:00-24:00"
13	0.000025045322401	0.000270957522198	0.000354474559634	"Mo-Su 10:00-00:00"
13	0.000025045322401	0.000270957522198	0.000354474559634	"Mo-Fr 11:00-24:00; Sa,Su 12:00-24:00"
13	0.000025045322401	0.000270957522198	0.000354474559634	"Mo-Fr 11:00-22:00"
13	0.000025045322401	0.000270957522198	0.000354474559634	"Mo-Su 11:30-21:00"
13	0.000025045322401	0.000270957522198	0.000354474559634	"Mo-Su 11:30-15:00,17:30-24:00"
13	0.000025045322401	0.000270957522198	0.000354474559634	"17:30-24:00"
13	0.000025045322401	0.000270957522198	0.000354474559634	"Mo-Su 11:30-14:30, 18:30-22:30"
12	0.000023118759139	0.000250114635875	0.000327207285816	"10:30-23:00"
12	0.000023118759139	0.000250114635875	0.000327207285816	"Mo-Fr 08:00-17:00"
12	0.000023118759139	0.000250114635875	0.000327207285816	"Mo-Th 12:00-22:00; Fr-Sa 12:00-23:00; Su 12:00-22:00"
12	0.000023118759139	0.000250114635875	0.000327207285816	"Su-Th 11:30-22:00; Fr-Sa 11:30-23:00"
12	0.000023118759139	0.000250114635875	0.000327207285816	"Tu-Su 10:00-24:00"
12	0.000023118759139	0.000250114635875	0.000327207285816	"Mo-Sa 08:00-22:00"
12	0.000023118759139	0.000250114635875	0.000327207285816	"15:00-22:00"
12	0.000023118759139	0.000250114635875	0.000327207285816	"12:00-22:30"
12	0.000023118759139	0.000250114635875	0.000327207285816	"08:00-21:00"
12	0.000023118759139	0.000250114635875	0.000327207285816	"11:30-22:30"
12	0.000023118759139	0.000250114635875	0.000327207285816	"Mo-Su 08:30-20:00"
12	0.000023118759139	0.000250114635875	0.000327207285816	"Mo-Sa 11:00-24:00"
12	0.000023118759139	0.000250114635875	0.000327207285816	"00:00-24:00"
12	0.000023118759139	0.000250114635875	0.000327207285816	"Mo-Sa 18:00-23:00"
12	0.000023118759139	0.000250114635875	0.000327207285816	"Su-Th 10:00-22:00; Fr-Sa 10:00-23:00"
12	0.000023118759139	0.000250114635875	0.000327207285816	"06:00-22:00"
12	0.000023118759139	0.000250114635875	0.000327207285816	"Mo-Su 06:30-23:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Mo-Su 16:00-24:00"
11	0.000021192195878	0.000229271749552	0.000299940011998	"Tu-Su 11:30-14:00,17:30-23:00"
