Number	Opening_hours	Distance
3	wd 07:30-21:00; Sa,Su,PH 08:00-21:00	0
3	Mo-Su 07:00-21:30	0
3	Mo-Fr 07:30-21:00; Sa 07:30-20:00; Su,PH 08:00-20:00	0
3	Mo-Fr 07:30-20:00	0
3	Mo-Fr 6:00-16:00	2
3	Mo-Sa 10:00-22:00; Su 10:00-20:00	0
3	Mo-Fr 09:00-18:00; Sa-Su 10:00-17:00	0
3	Mo-Su 14:00-19:00	0
3	Mo-Fr 07:00-22:30; Sa 08:00-22:30; Su,PH 08:00-22:00	0
3	Mo-Sa 09:00-21:00; Su 09:00-19:00	0
3	Mo-Fr 07:30-23:00; Sa,Su 08:30-22:00	0
3	Mo-Sa 08:00-20:00; Su 08:00-18:00	0
3	Mo-Fr 08:00-18:00; Sa 10:00-18:00	0
3	Mo-Fr 08:00-22:00; Sa-Su 10:00-22:00	0
3	Mo-Su 10:00-23:00; Fr,Sa 10:00-24:00	0
3	Su-Th 06:00-22:00; Fr-Sa 06:00-23:00	0
3	Mo-Sa 06:30-18:00; Su 07:00-09:00,13:00-18:00	0
3		4
3	Sa,Su 13:00-18:00	0
3	Mo-Fr 09:00-22:00	0
3	Mo-Th 09:00-01:00; Fr-Sa 09:00-03:00; Su 09:00-01:00	0
3	Mo-Sa 10:00-21:00	0
3	Sa-Su 10:00-15:00	0
3	16:00-02:00	1
3	Mo-Fr 09:00-20:00; Sa,Su 10:00-20:00	0
3	Mo-Su 06:00-02:00	0
3	Mo-Su 9:00-18:00	2
3	Mo-Su 12:00-18:00	0
3	12:00-18:00	1
3	Mo-Fr 09:00-18:00; Sa 09:00-13:00; Su 00:00-00:00	0
3	Mo-Sa 07:30-21:00; Su,PH 08:00-21:00	0
3	Mo-Fr 07:00-21:30; Sa,Su,PH 07:30-21:00	0
3	Mo-Su 06:30-19:00	0
3	Mo-Fr 07:00-21:00; Sa 08:00-21:00; Su,PH 08:00-20:00	0
3	Mo-Sa 11:30-22:00	0
3	07:30-23:30	1
3	7:30-23:00	1
3	Mo-Su 10:00-18:00	0
3	Tu-Su 12:00-20:00	0
3	Mo-Fr 08:00-23:00; Sa,Su 11:00-23:00	0
3	Mo-Fr 07:00-21:00; Sa 08:00-20:00; Su,PH 09:00-20:00	0
3	Mo-Sa 08:00-18:00; Su 13:00-18:00	0
3	Mo-Su 10:00-19:30	0
3	Mo-Su 9:00-23:00	2
3	9:00-24:00	1
3	Mo-Fr 06:30-21:00; Sa-Su 08:00-21:00	0
3	Mo-Fr 09:00-21:00; Sa-Su 10:00-21:00	0
3	07:00-00:00	1
3	12:00-17:00	1
3	Mo-Fr 08:00-21:00; Sa,Su 10:00-21:00	0
3	Mo-We 09:00-18:00; Th 09:00-20:00; Fr-Sa 09:00-19:00; Su 11:00-17:00; PH 10:00-18:00	0
3	Mo-Sa 09:00-20:00; Su 10:00-20:00	0
3	Mo-Sa 09:30-18:00	0
3	Mo-Fr 07:30-23:59	0
3	Mo-Fr 07:00-19:00; Sa 09:00-17:00	0
3	09:30-18:30	1
3	Mo-Su 10:30-21:00	0
3	Mo-Fr 07:00-20:00	0
3	Mo-Fr 07:00-21:00; Sa,Su,PH 08:00-19:00	0
3	Mo-Fr 08:00-21:00; Sa-Su 09:00-21:00	0
3	Mo-Su 10:00-02:00	0
3	Mo-Fr 06:00-18:00; Sa 06:00-13:00; Su 08:00-11:00	0
3	Mo-Sa 08:00-18:00; Su 09:00-18:00	0
3	Mo-Fr 07:00-20:00; Sa-Su 08:00-20:00	0
3	Mo-Fr 10:00-19:00; Sa 10:00-15:00	0
3	Mo-Fr 06:00-21:00;Sa-Su 07:00-21:00	0
3	Th-Su 14:00-17:00	0
