http://linkedgeodata.org/ontology/School
"n_sp"	"ratio_n_sp_stot"	"p"
31241	0.099791097028084	"http://linkedgeodata.org/ontology/operator"
27652	0.088326987453045	"http://linkedgeodata.org/ontology/bicycle"
25606	0.08179158255181	"http://linkedgeodata.org/ontology/source"
23098	0.073780441059975	"http://linkedgeodata.org/ontology/ref"
17393	0.05555733013058	"http://linkedgeodata.org/ontology/map_size"
17206	0.054960008177242	"http://linkedgeodata.org/ontology/map_type"
8200	0.02619272736565	"http://linkedgeodata.org/ontology/mtb"
5808	0.018552117138988	"http://linkedgeodata.org/ontology/note"
5065	0.016178800500856	"http://linkedgeodata.org/ontology/network"
4102	0.013102752152914	"http://linkedgeodata.org/ontology/board_type"
4016	0.01282804793908	"http://linkedgeodata.org/ontology/ski"
2972	0.009493266552526	"http://linkedgeodata.org/ontology/osmc%3Asymbol"
2889	0.009228145043825	"http://linkedgeodata.org/ontology/information%3Apublic_transport"
2659	0.008493470983569	"http://linkedgeodata.org/ontology/addr%3Astreet"
2482	0.007928091380676	"http://linkedgeodata.org/ontology/wheelchair"
2326	0.00742979071372	"http://linkedgeodata.org/ontology/addr%3Acity"
2124	0.006784555234712	"http://linkedgeodata.org/ontology/addr%3Ahousenumber"
2061	0.006583318426903	"http://linkedgeodata.org/ontology/url"
1978	0.006318196918202	"http://linkedgeodata.org/ontology/horse"
1919	0.006129737050571	"http://linkedgeodata.org/ontology/source%3Adate"
1798	0.005743234610176	"http://linkedgeodata.org/ontology/symbol"
1494	0.00477218715662	"http://linkedgeodata.org/ontology/height"
1402	0.004478317532517	"http://linkedgeodata.org/ontology/opening_hours"
1267	0.004047095801497	"http://linkedgeodata.org/ontology/guidepost"
http://linkedgeodata.org/ontology/SurveyPoint
"n_sp"	"ratio_n_sp_stot"	"p"
289865	1	"http://linkedgeodata.org/ontology/changeset"
289865	1	"http://linkedgeodata.org/ontology/version"
289799	0.999772307798458	"http://linkedgeodata.org/ontology/gadmSameAs"
188539	0.650437272523416	"http://linkedgeodata.org/ontology/source"
178551	0.615979852690045	"http://linkedgeodata.org/ontology/note"
168630	0.581753574940058	"http://linkedgeodata.org/ontology/ref"
144500	0.498507926103531	"http://linkedgeodata.org/ontology/ele"
