?n	?predicate
28	<http://linkedgeodata.org/ontology/gnis%3Acounty_name>
28	<http://linkedgeodata.org/ontology/postcode>
28	<http://linkedgeodata.org/ontology/smokefree>
27	<http://linkedgeodata.org/ontology/bag%3Astatus>
27	<http://linkedgeodata.org/ontology/construction>
27	<http://linkedgeodata.org/ontology/description%3Aen>
27	<http://linkedgeodata.org/ontology/description2>
27	<http://linkedgeodata.org/ontology/maaamet%3AETAK>
27	<http://linkedgeodata.org/ontology/number_of_menulanguages>
27	<http://linkedgeodata.org/ontology/precio_menudia>
27	<http://linkedgeodata.org/ontology/tenant>
26	<http://linkedgeodata.org/ontology/beer_brand>
26	<http://linkedgeodata.org/ontology/cuisine%3Aregional>
26	<http://linkedgeodata.org/ontology/cuisine_2>
26	<http://linkedgeodata.org/ontology/facebook%3Apage>
26	<http://linkedgeodata.org/ontology/seamark%3Atype>
26	<http://linkedgeodata.org/ontology/takeout>
26	<http://linkedgeodata.org/ontology/wikidata>
25	<http://linkedgeodata.org/ontology/dog>
25	<http://linkedgeodata.org/ontology/gluten_free>
25	<http://linkedgeodata.org/ontology/height%3Athreshold>
25	<http://linkedgeodata.org/ontology/kml_folder>
25	<http://linkedgeodata.org/ontology/payment%3Acibus>
24	<http://linkedgeodata.org/ontology/addr%3Adoor>
24	<http://linkedgeodata.org/ontology/addr%3Astreet%3Aen>
24	<http://linkedgeodata.org/ontology/addr%3Avillage>
24	<http://linkedgeodata.org/ontology/building%3Aroof%3Ashape>
24	<http://linkedgeodata.org/ontology/massif>
24	<http://linkedgeodata.org/ontology/payment%3A10bis>
23	<http://linkedgeodata.org/ontology/addr%3Agovernorate>
23	<http://linkedgeodata.org/ontology/addr%3Alevel>
23	<http://linkedgeodata.org/ontology/building%3Amin_level>
23	<http://linkedgeodata.org/ontology/diet%3Alacto_vegetarian>
23	<http://linkedgeodata.org/ontology/diet%3Apescetarian>
23	<http://linkedgeodata.org/ontology/handy>
23	<http://linkedgeodata.org/ontology/opening_hours%3Alunch>
23	<http://linkedgeodata.org/ontology/source%3Alisted_status>
22	<http://linkedgeodata.org/ontology/bbg%3Aaddr>
22	<http://linkedgeodata.org/ontology/bbg%3Adataset>
22	<http://linkedgeodata.org/ontology/bbg%3Astname>
22	<http://linkedgeodata.org/ontology/bbg%3Astsuffix>
22	<http://linkedgeodata.org/ontology/brewery%3Aweizen>
22	<http://linkedgeodata.org/ontology/disused%3Aname>
22	<http://linkedgeodata.org/ontology/full_name>
22	<http://linkedgeodata.org/ontology/gnis%3Aimport_uuid>
22	<http://linkedgeodata.org/ontology/happy_hours>
22	<http://linkedgeodata.org/ontology/payment%3Alitecoin>
22	<http://linkedgeodata.org/ontology/previously>
22	<http://linkedgeodata.org/ontology/url%3Aofficial>
21	<http://linkedgeodata.org/ontology/breakfast>
21	<http://linkedgeodata.org/ontology/contact%3Amail>
21	<http://linkedgeodata.org/ontology/cuisine%3Afr>
21	<http://linkedgeodata.org/ontology/end_date>
21	<http://linkedgeodata.org/ontology/hours>
21	<http://linkedgeodata.org/ontology/information>
21	<http://linkedgeodata.org/ontology/name%3Aky>
21	<http://linkedgeodata.org/ontology/opendata%3Atype>
21	<http://linkedgeodata.org/ontology/osm_id>
21	<http://linkedgeodata.org/ontology/ref%3Amhs>
20	<http://linkedgeodata.org/ontology/HE_ref>
